会社名,部署,担当者,事業内容,課題仮説,HP,フォームURL
株式会社ラクソル,開発部,ご担当者,Webアプリ・サービス運営（ITインフラストラクチャー・Webアプリ・サービス運営）を手がける企業。本社京都府。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.rakusol.com/company/,http://www.rakusol.com/contacts/
GreenSnap株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://greensnap.jp/company/about,https://greensnap.jp/inquiry
ファーマックメディカル株式会社,情報システム部,ご担当者,医療機器（金属加工・データ入力・事務作業代行・レーザー加工）を手がける企業。本社長野県。従業員10人以上20人未満。売上規模3億円以上10億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://farmax-med.com/,https://farmax-med.com/contact/
アクシズフロンティア株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営・ITインフラストラクチャー）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.ax-frontier.jp,https://www.ax-frontier.jp/contact
株式会社スキルコネクト,開発部,ご担当者,Webアプリ・サービス運営（その他サービス・ITインフラストラクチャー・クラウド系/SaaS/ASPサービス）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://www.skill-c.co.jp/,https://www.skill-c.co.jp/contact/
アルゴリンクス株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.algolynx.com/,https://www.algolynx.com/cgi-bin/contact/index.cgi
ヱビス株式会社,開発部,ご担当者,Webアプリ・サービス運営（販促コンサル）を手がける企業。本社大阪府。従業員10人以上20人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://ebisuinc.jp/,https://ebisuinc.jp/contact/
ボーダー株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（宿泊予約・その他乗り物）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模3億円以上10億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://border.co.jp/company/,https://border.co.jp/inquiry?form_type=brochure
Wrike Japan株式会社,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.wrike.com/ja,https://www.wrike.com/ja/contactus/
株式会社ビズフォース,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,http://www.biz-force.co.jp,http://www.biz-force.co.jp/contact/
株式会社トライン,開発部,ご担当者,Webアプリ・サービス運営（経営コンサル・eコマース・Webアプリ・サービス運営）を手がける企業。本社大阪府。従業員10人以上20人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。セール時期や表示速度の改善など、フロントエンドの品質が売上に直結する。,https://www.trein.jp/,http://www.trein.jp/contact/index.html
株式会社WINNERS,開発部,ご担当者,Webアプリ・サービス運営（求人媒体運営・求人情報誌出版）を手がける企業。本社千葉県。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://winners.jp/company.html,https://winners.jp/contact.html
株式会社ジェイクラフト,情報システム部,ご担当者,医療機器（日用品・化粧品商社・医療機器商社・その他機械）を手がける企業。本社大阪府。従業員10人以上20人未満。売上規模3億円以上10億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://jcraft.co.jp/,http://jcraft.co.jp/#company
株式会社トランビ,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.tranbi.com/,https://www.tranbi.com/contact/
FlipNine株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://flip-nine.jp/,https://flip-nine.jp/contact/
アンドロボディオーナ株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://diordna.jp/,http://androbo.jp/contact/
株式会社ユニ・トランド,開発部,ご担当者,Webアプリ・サービス運営（計測機器・センサー・その他IT・研究・調査・リサーチ）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.unitrand.co.jp/corporate/,http://www.unitrand.co.jp/contact
Smart Solutions株式会社,開発部,ご担当者,Webアプリ・サービス運営（その他IT・情報セキュリティ・研究・調査・リサーチ）を手がける企業。本社茨城県。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://smt-sol.jp,https://smt-sol.jp/contact/
百易ソフト東京株式会社,開発部,ご担当者,Webアプリ・サービス運営（ITコンサル）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://presoft.jp/company.html,http://www.presoft.com.cn/contact.htm
株式会社ウミガメ,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://umigame-net.com/,http://www.umigame-net.com/contact.html
株式会社マカルーデジタル,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://macareux.co.jp/company,https://concrete5.co.jp/contact
メディカルエッジ株式会社,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売・その他IT）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,http://medicaledge.jp/company-profile-2/,http://medicaledge.jp/contact/
K&Kソフト株式会社,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,http://www.kksoft.co.jp/compInfo/companyInfo.html,http://www.kksoft.co.jp/concat/contact.html
ジェミー株式会社,開発部,ご担当者,Webアプリ・サービス運営（その他サービス）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://gemmy.co.jp/company/,http://gemmy.co.jp/contact/
株式会社ookami,開発部,ご担当者,Webアプリ・サービス運営（その他マスコミ・出版・Webマーケコンサル・その他ゲーム）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://ookami.tokyo/company/info/,https://ookami.tokyo/contact/
株式会社ROBON,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.robon.co.jp/company/index.html,https://www.robon.co.jp/contact/index.html
株式会社souco,開発部,ご担当者,Webアプリ・サービス運営（その他サービス・その他運輸・物流）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.souco.space/,https://corporate.souco.space/contact_form/
アイマトリックス株式会社,技術部,ご担当者,情報セキュリティ（ソフトウェア販売・Webアプリ・サービス運営）を手がける企業。本社神奈川県。従業員10人以上20人未満。売上規模1億円以上3億円未満。,管理コンソールやダッシュボードのUIが製品評価に直結するのに、セキュリティ専門のエンジニアがUI実装まで抱えており開発が詰まりやすい。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.imatrix.co.jp/info/info.html,https://www.imatrix.co.jp/form/contact.html
株式会社ロケットエンジン,開発部,ご担当者,ゲーム開発（動画制作・CG制作・デザイン・ゲーム・アニメデザイン）を手がける企業。本社埼玉県。従業員10人以上20人未満。売上規模3億円以上10億円未満。,ゲーム本体の開発にエンジニアを集中させたい一方、公式サイト・運営管理ツール・Web版の改修が後回しになりやすい。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,http://rocket-engine.co.jp/index.html,http://rocket-engine.co.jp/contact.html
株式会社セナネットワークス,開発部,ご担当者,クラウド系/SaaS/ASPサービス（ITコンサル・Webアプリ・サービス運営・ITインフラストラクチャー）を手がける企業。本社大阪府。従業員10人以上20人未満。売上規模1億円以上3億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://www.sena-networks.co.jp/,https://www.sena-networks.co.jp/#contact
Sinumy株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社大阪府。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://corp.sinumy.com/,https://corp.paylessgate.com/contact/
株式会社Hexabase,開発部,ご担当者,Webアプリ・サービス運営（その他IT）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.hexabase.com/our-company,https://www.hexabase.com/contact-us/
ミクステンド株式会社,開発部,ご担当者,Webアプリ・サービス運営（セミナー）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://mixtend.com/company/,https://mixtend.com/contact
プラスビリーフ株式会社,開発部,ご担当者,Webアプリ・サービス運営（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://plusbelief.co.jp/,https://plusbelief.co.jp/contact/
ネットスマイル株式会社,開発部,ご担当者,Webアプリ・サービス運営（AI・産業用ロボット）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://netsmile.jp/company/,https://netsmile.jp/form/
DeSCヘルスケア株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://desc-hc.co.jp/,https://www.desc-hc.co.jp/contact
株式会社ゼロベースファクト,開発部,ご担当者,クラウド系/SaaS/ASPサービス（その他IT）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模3億円以上10億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.zerobasefact.com/,http://www.zerobasefact.com/contact.html
イーソルトリニティ株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.esol-trinity.co.jp/company/,http://www.esol-trinity.co.jp/contact/mailform/
株式会社クロスメディカル,情報システム部,ご担当者,医療機器（医療機器商社・eコマース）を手がける企業。本社京都府。従業員10人以上20人未満。売上規模3億円以上10億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。セール時期や表示速度の改善など、フロントエンドの品質が売上に直結する。,https://www.xcardio.com/,https://www.xcardio.com/contact/rentalform/
ハーモナイズ株式会社,情報システム部,ご担当者,医療機器（プラスチック製品・樹脂製品・金属部品・金属加工）を手がける企業。本社福島県。従業員10人以上20人未満。売上規模3億円以上10億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,http://harmonized.biz/company/,http://harmonized.biz/contact/
株式会社MaaS Tech Japan,開発部,ご担当者,クラウド系/SaaS/ASPサービス（ITコンサル・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://www.maas.co.jp/,https://forms.office.com/Pages/ResponsePage.aspx?id=MtnIeK3tMEexbLLR4ScCQINuwlcbe-tIvEAZtVnJjuRURThIODFYWDNNS0lUMUo5Q0lWVFRZMVU5MS4u
株式会社Argano,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://argano.co.jp/company/,https://docs.google.com/forms/d/e/1FAIpQLSc0LyyX6tKuWjl1lUybcnUuOrcdOvYOh1hfYgfNh_IEwTJrPA/viewform?usp=sf_link
株式会社アドストリームジャパン,開発部,ご担当者,クラウド系/SaaS/ASPサービス（ITコンサル・その他コンサル）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://www.adstream.co.jp/about,https://www.adstream.co.jp/contact
アドバンス柏株式会社,情報システム部,ご担当者,医療機器（その他製造）を手がける企業。本社千葉県。従業員10人以上20人未満。売上規模3億円以上10億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.advance-k.biz,https://www.advance-k.biz/%E3%81%8A%E5%95%8F%E5%90%88%E3%82%8F%E3%81%9B/
株式会社Momo,開発部,ご担当者,Webアプリ・サービス運営（受託開発）を手がける企業。本社兵庫県。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://momo-ltd.com/about/,https://momo-ltd.com/contact/
株式会社chaintope,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社福岡県。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.chaintope.com/,https://docs.google.com/forms/d/e/1FAIpQLSd1ly4aJuyep39nB39OlBj3J0GjCYqYqfZcHouKgf2v0ysAyA/viewform
株式会社ソーシャルキャピタル・プロダクション,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://sc-p.co.jp/company/,http://www.sc-p.co.jp/contact/
Keeyls株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（その他IT）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模3億円以上10億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://keeyls.com/about-keeyls/,https://keeyls.com/contact/
株式会社Azit,開発部,ご担当者,Webアプリ・サービス運営（スマホアプリ）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://azit.co.jp/,https://azit.co.jp/contact
株式会社ScopeNext,開発部,ご担当者,Webアプリ・サービス運営（ITコンサル・その他ゲーム）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://www.scopenext.co.jp/,https://www.scopenext.co.jp/contact
サイトンジャパン合同会社,情報システム部,ご担当者,医療機器（セミナー・医療機器商社）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模3億円以上10億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://sciton.jp/会社案内/,http://sciton.jp/contact/
株式会社シーラベル,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社神奈川県。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://clabel.co.jp/company,https://clabel.co.jp/contact
PharmaX株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営・その他医療・福祉）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.pharma-x.co.jp/,https://www.pharma-x.co.jp/
ウィメンズヘルス・ジャパン株式会社,情報システム部,ご担当者,医療機器（セミナー・医療機器商社）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模3億円以上10億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,http://womenshealthjapan.com/,http://www.womenshealthjapan.com/contact/index.html
シーイヤー株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://www.cear.co.jp/,https://cear.co.jp/contact/
Willbox株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（その他運輸・物流・その他コンサル）を手がける企業。本社神奈川県。従業員10人以上20人未満。売上規模3億円以上10億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://willbox.jp/about,https://willbox.jp/contact
ネオメディカル株式会社,情報システム部,ご担当者,医療機器（医療機器商社・医療コンサル）を手がける企業。本社埼玉県。従業員10人以上20人未満。売上規模3億円以上10億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://neomedical.co.jp/company/,http://neomedical.co.jp/contact/
イノベーティブ・デザイン合同会社,開発部,ご担当者,Webアプリ・サービス運営（ITコンサル）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://innovative-design.jp/ja/,https://innovative-design.jp/ja/contact/
株式会社トランスソフト,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売・ITコンサル・Web制作）を手がける企業。本社宮城県。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,http://www.transsoft.co.jp/company.html,https://sec.alpha-mail.jp/transsoft.co.jp/contact.html
センシン株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社宮城県。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://fudosantoshiguide.com/,https://fudosantoshiguide.com/contact/
タイムクラウド株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://timecrowd.net/sct,https://timecrowd.net/contacts/new
株式会社overflow,開発部,ご担当者,Webアプリ・サービス運営（その他人材・Webマーケコンサル）を手がける企業。本社東京都。従業員10人以上20人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。少人数でフロントとバックを兼任しており、正社員のフロントエンド採用は難しく、即戦力を短期で足したい局面。,https://overflow.co.jp/,https://overflow.co.jp/about#vision
